# ==========================================
#        COPENHAGEN ATOMICS INVENTORY
# ==========================================
# Generated On: 2026-01-27 15:41:38
# File: Optimistic_composition_5y.csv
# ------------------------------------------
# SYSTEM TOTALS:
# Total Mass:  115.984087 kg
# Total Atoms: 1.936783e+27
# ------------------------------------------
# NOTE: Use pd.read_csv(..., comment='#') to read this file.
# ==========================================
Isotope,Atoms
F19,1.5600000000000002e+27
Cs135,3.23e+25
Cs133,3.12e+25
Ba138,3.05e+25
Cs137,3e+25
Zr94,2.99e+25
Zr93,2.9499999999999995e+25
Zr96,2.8e+25
Mo95,2.65e+25
Zr92,2.59e+25
Zr91,2.18e+25
Y89,1.99e+25
Sr88,1.87e+25
Sr90,1.7e+25
Rb87,1.42e+25
Mo97,7.54e+24
Rb85,6.24e+24
Ba137,1.75e+24
Zr95,1.43e+24
Zr90,1.05e+24
Y91,1.02e+24
Sr89,8.39e+23
Nb95,7.79e+23
Ba136,3.68e+23
Ba140,2.69e+23
Br81,6.56e+22
Mo98,4.98e+21
Y90,4.31e+21
Zr97,4.06e+21
Cs136,3.48e+21
Sr86,2e+21
Y93,1.89e+21
Sr91,1.8e+21
I131,1.52e+21
I133,1.03e+21
Mo100,9.02e+20
Nb95_m1,8.69e+20
I129,8.6e+20
I135,7.17e+20
Cs134,6.19e+20
Ba134,5.16e+20
Ba139,4.74e+20
Cs138,4.5e+20
Y92,4e+20
Tc99,2.95e+20
Nb97,2.91e+20
Rb88,1.89e+20
Rb89,1.48e+20
Sr92,1.46e+20
Ru101,1.27e+20
Ru102,9.82e+19
Y91_m1,9.63e+19
Sr87,5.24e+19
Cs139,4.97e+19
Ba135,4.47e+19
Rb86,4.12e+19
Nb93_m1,3.03e+19
Rb90,1.13e+19
Rh103,9.33e+18
Br79,8.08e+18
I134,6.08e+18
Ba137_m1,4.58e+18
I132,3.94e+18
Nb97_m1,3.76e+18
Ba141,3.24e+18
Nb93,3.04e+18
Rb90_m1,2.77e+18
Y94,2.24e+18
Br83,2.22e+18
Br82,2.06e+18
Ru104,1.89e+18
Cs140,1.75e+18
I130,1.08e+18
Rb91,1.06e+18
Ba142,8.03e+17
Y95,6.22e+17
I132_m1,6.17e+17
Mo99,5.85e+17
Br84,4.35e+17
Sr93,4.33e+17
Pd105,3.95e+17
Ru103,2.43e+17
I127,1.75e+17
Te128,1.52e+17
Se80,1.43e+17
Tc99_m1,4.68e+16
Y88,4.3e+16
Cs141,2.8e+16
Ru99,1.21e+16
Br85,1.18e+16
Ba132,1.14e+16
Rb84,1.13e+16
I134_m1,1.08e+16
Sr84,9970000000000000.0
Cs135_m1,8840000000000000.0
Sr94,8230000000000000.0
Rb83,7970000000000000.0
Rb92,7320000000000000.0
Cs138_m1,5110000000000000.0
Ba135_m1,5080000000000000.0
Cs134_m1,4450000000000000.0
I136,3780000000000000.0
Br84_m1,3780000000000000.0
Cs132,2750000000000000.0
Y90_m1,2270000000000000.0
Ba133,1720000000000000.0
Rb93,1550000000000000.0
Br87,1470000000000000.0
Br86,1420000000000000.0
Zr98,1360000000000000.0
Sr85,1070000000000000.0
Mo101,872000000000000.0
Tc101,847000000000000.0
I136_m1,779000000000000.0
Sr95,562000000000000.0
Mo102,475000000000000.0
Cs142,399000000000000.0
I137,349000000000000.0
Br80_m1,333000000000000.0
Ba143,300000000000000.0
Y89_m1,290000000000000.0
Y93_m1,272000000000000.0
Pd106,260000000000000.0
